locationId,month,review_count,rating,avg_sentiment,dom_count,intl_count,service_score,staff_score,quality_score,facility_score,cleanliness_score,price_score,ambiance_score,food_score,dom_sentiment,intl_sentiment,temp_mean,temp_min,temp_max,rainfall_mm,sunshine_hours,rainy_days,holiday_count,review_count_smoothed,avg_sentiment_smoothed
d10077795,2017-01-01,6,5.0,0.4770833333333333,0,6,0.9,0.9,0.8500000000000001,0.4000000000000001,0.0,0.11666666666666665,0.5166666666666667,0.13333333333333333,0.0,0.4770833333333333,23.23225806451613,20.96551724137931,26.046666666666667,131.8,0.0,15.0,8.0,6.0,0.4770833333333333
d10077795,2017-02-01,1,4.0,0.5375,0,1,0.9,0.9,0.9,0.8,0.8,0.0,0.0,0.0,0.0,0.5375,22.675,20.14074074074074,25.653846153846157,60.2,0.0,10.0,1.0,3.5,0.5072916666666667
d10077795,2017-03-01,1,5.0,0.3375,0,1,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3375,25.20967741935484,22.55483870967742,28.896774193548385,15.2,0.0,5.0,0.0,2.6666666666666665,0.45069444444444445
d10077795,2017-04-01,2,5.0,0.3375,0,2,0.9,0.9,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3375,27.113333333333333,24.382758620689657,31.32068965517241,32.5,0.0,8.0,2.0,1.3333333333333333,0.4041666666666666
d10077795,2017-05-01,5,4.6,0.325,0,5,0.86,0.9,0.0,0.13999999999999999,0.0,0.0,0.54,0.16,0.0,0.325,28.858064516129037,25.526666666666664,32.971428571428575,75.10000000000001,0.0,10.0,2.0,2.6666666666666665,0.3333333333333333
d10077795,2017-06-01,6,5.0,0.23333333333333336,0,6,0.7166666666666667,0.5333333333333333,0.13333333333333333,0.0,0.0,0.09999999999999999,0.15,0.2333333333333333,0.0,0.23333333333333336,30.57,26.607142857142858,35.81481481481482,30.5,0.0,4.0,0.0,4.333333333333333,0.2986111111111111
d10077795,2017-07-01,4,5.0,0.38125,0,4,0.825,0.825,0.8,0.2,0.0,0.4,0.0,0.0,0.0,0.38125,28.90322580645161,25.679310344827588,33.46551724137931,249.0,0.0,15.0,0.0,5.0,0.31319444444444444
d10077795,2017-08-01,3,5.0,0.37083333333333335,0,3,0.9,0.8000000000000002,0.8000000000000002,0.2333333333333333,0.0,0.0,0.0,0.2333333333333333,0.0,0.37083333333333335,29.993548387096773,26.34,34.55925925925926,178.7,0.0,9.0,0.0,4.333333333333333,0.3284722222222222
d10077795,2017-09-01,6,5.0,0.3854166666666667,0,6,0.8833333333333333,0.9,0.8166666666666668,0.11666666666666665,0.11666666666666665,0.0,0.0,0.25,0.0,0.3854166666666667,29.32,25.335714285714285,34.146153846153844,189.5,0.0,4.0,2.0,4.333333333333333,0.37916666666666665
d10077795,2017-10-01,4,5.0,0.30937499999999996,1,3,0.9,0.9,0.2,0.3,0.0,0.175,0.0,0.0,0.225,0.33749999999999997,26.84193548387097,24.216129032258067,30.33333333333333,361.5,0.0,21.0,0.0,4.333333333333333,0.35520833333333335
d10077795,2017-11-01,2,5.0,0.3,0,2,0.45,0.9,0.35,0.7,0.0,0.0,0.0,0.0,0.0,0.3,24.923333333333336,23.11785714285714,27.84642857142857,791.7,0.0,24.0,0.0,4.0,0.3315972222222222
